"BW_kg","pred.mmr.mgO2min","pred.mmr.mgO2minKG","pred.smr.mgO2min","pred.smr.mgO2minKG","pred.as.mgO2min","pred.as.mgO2minKG","pred.fas.mgO2min","slope.SMR","int.SMR","slope.MMR","int.MMR","slope.AS","int.AS","slope.FAS","int.FAS","simID"
0.1,1.24479558702725,12.4479558702725,0.2,2,1.04479558702725,10.4479558702725,6.22397793513623,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
1.1,7.51869649050759,6.83517862773417,2.2,2,5.31869649050759,4.83517862773417,3.41758931386709,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
2.1,12.2113171573868,5.81491293208895,4.2,2,8.0113171573868,3.81491293208895,2.90745646604448,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
3.1,16.353823654687,5.2754269853829,6.2,2,10.153823654687,3.2754269853829,2.63771349269145,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
4.1,20.1690727534052,4.91928603741589,8.2,2,11.9690727534052,2.91928603741589,2.45964301870795,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
5.1,23.7561288457526,4.65806447955933,10.2,2,13.5561288457526,2.65806447955933,2.32903223977966,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
6.1,27.1703614721254,4.45415761838122,12.2,2,14.9703614721254,2.45415761838122,2.22707880919061,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
7.1,30.4468103144404,4.28828314287893,14.2,2,16.2468103144404,2.28828314287893,2.14414157143947,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
8.1,33.6094808497356,4.14931862342415,16.2,2,17.4094808497356,2.14931862342415,2.07465931171208,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
9.1,36.6757568026084,4.03030294534158,18.2,2,18.4757568026084,2.03030294534158,2.01515147267079,1,0.693147180559945,0.75,1.94591014905531,0.637,1.561,-0.25,1.253,1
0.1,0.901774686185194,9.01774686185194,0.257649910338627,2.57649910338627,0.644124775846567,6.44124775846567,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
1.1,7.61969398224044,6.92699452930949,2.17705542349727,1.97914129408843,5.44263855874317,4.94785323522107,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
2.1,13.5479383690544,6.45139922335925,3.87083953401555,1.84325692095978,9.67709883503887,4.60814230239946,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
3.1,19.1606371905673,6.18085070663461,5.47446776873351,1.76595734475275,13.6861694218338,4.41489336188187,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
4.1,24.5739897332815,5.99365603250768,7.02113992379471,1.71247315214505,17.5528498094868,4.28118288036263,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
5.1,29.8425202161581,5.85147455218786,8.52643434747374,1.67184987205367,21.3160858686843,4.17962468013419,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
6.1,34.9978683519564,5.73735546753384,9.99939095770184,1.63924441929538,24.9984773942546,4.09811104823846,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
7.1,40.0606480406272,5.64234479445453,11.4458994401792,1.61209851270129,28.614748600448,4.03024628175324,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
8.1,45.0453231470377,5.56115100580713,12.8700923277251,1.58890028737347,32.1752308193127,3.97225071843366,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
9.1,49.9625825907371,5.49039369128979,14.2750235973535,1.56868391179708,35.6875589933837,3.92170977949271,3.5,0.89,0.693147180559945,0.89,1.94591014905531,0.89,1.609,0,1.253,2
0.1,0.7,7,0.355655882007785,3.55655882007785,0.344344117992215,3.44344117992215,1.96819463816622,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
1.1,7.7,7,2.14819899728788,1.95290817935262,5.55180100271212,5.04709182064738,3.58439791179556,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
2.1,14.7,7,3.48894775925337,1.66140369488256,11.2110522407466,5.33859630511744,4.21330470225951,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
3.1,21.7,7,4.67252104419629,1.50726485296654,17.0274789558037,5.49273514703346,4.64417383993454,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
4.1,28.7,7,5.76259221525862,1.40551029640454,22.9374077847414,5.59448970359546,4.98039752387927,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
5.1,35.7,7,6.78746538450074,1.33087556558838,28.9125346154993,5.66912443441162,5.25969533215173,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
6.1,42.7,7,7.76296042060727,1.27261646239463,34.9370395793927,5.72738353760536,5.50047890063308,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
7.1,49.7,7,8.6990886612687,1.22522375510827,41.0009113387313,5.77477624489173,5.71324214929333,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
8.1,56.7,7,9.60270881421018,1.18551960669262,47.0972911857898,5.81448039330738,5.90458391449866,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
9.1,63.7,7,10.4787876578881,1.15151512724045,53.2212123421119,5.84848487275955,6.07894749656928,0.75,0.693147180559945,1,1.94591014905531,1.115,1.548,0.25,1.253,3
